s_P_0,determinant0,s_P_1,determinant1
3.6747341078241913e-14,0.7776740524027331,3.0035765159590984e-13,0.7776740524027331
4.9773695878680663e-17,0.7793862826695529,3.5803245921183297e-16,0.7793862826695529
2.031336911263791e-14,0.7811038528381693,2.247818160779884e-13,0.7811038528381693
8.19998953273835e-14,0.7828268081158504,8.510319963577255e-13,0.7828268081158504
4.013739699741081e-14,0.7845550464137762,4.13400612963574e-13,0.7845550464137762
4.2488426139701994e-16,0.7862889090721337,1.1911964408845773e-14,0.7862889090721337
4.203252382178051e-14,0.7880281466501009,4.4054030138575394e-13,0.7880281466501009
2.308592622274706e-14,0.7897728046983161,2.268654523128319e-13,0.7897728046983161
2.847810312956984e-14,0.79152307958943,2.634342006734412e-13,0.79152307958943
7.039350887126287e-17,0.7932788689310466,5.710629286758299e-16,0.7932788689310466
4.6664608822328735e-15,0.7950402199360291,5.416097241394232e-14,0.7950402199360291
9.556045045995754e-16,0.7968071803836012,2.182912957841339e-14,0.7968071803836012
2.2867635963586645e-14,0.7985797986277924,1.508042523038408e-13,0.7985797986277924
6.347457978180886e-16,0.8003581236060352,1.3613480943216977e-14,0.8003581236060352
2.6040136732184437e-17,0.8021422048479087,2.5698238010826316e-15,0.8021422048479087
2.3183738081405893e-14,0.8039319377516505,2.3918075655310255e-13,0.8039319377516505
7.507450153774438e-15,0.805727371096434,8.553643647159756e-14,0.805727371096434
6.242243094612752e-16,0.807528710297842,4.426465883802958e-15,0.807528710297842
6.130309823114829e-14,0.8093358506090209,5.87253882279037e-13,0.8093358506090209
5.2404751929585915e-14,0.8111488426254648,5.149922961291821e-13,0.8111488426254648
2.4034174729984307e-15,0.8129677375618992,9.720002865194388e-15,0.8129677375618992
2.0232924700543866e-14,0.8147924285367407,2.3188388189033754e-13,0.8147924285367407
1.7354947057334896e-15,0.8166232847994837,7.590088077216828e-15,0.8166232847994837
1.7074670044713337e-15,0.8184600413381153,2.891819828201323e-14,0.8184600413381153
1.6325430995015633e-14,0.8203027498648845,1.5605157516982795e-13,0.8203027498648845
2.960881788079651e-16,0.8221514627303943,4.290993340243374e-15,0.8221514627303943
2.8476198658298523e-14,0.8240063951169745,3.7064588150681685e-13,0.8240063951169745
6.419796732684034e-16,0.8258674399110865,5.140374177739133e-16,0.8258674399110865
2.8086085725627186e-14,0.8277346514530064,3.47750281717172e-13,0.8277346514530064
7.40886931414657e-15,0.8296080847617615,4.389391530954915e-14,0.8296080847617615
3.9209703657844834e-16,0.8314877955456383,8.839181919388756e-15,0.8314877955456383
2.0875088788429174e-15,0.8333735086768832,6.396488981328248e-14,0.8333735086768832
2.2431477364025606e-14,0.8352659428815392,3.1716609334398793e-13,0.8352659428815392
2.1644189330726637e-14,0.8371644914423533,3.467240355875002e-13,0.8371644914423533
3.9860502365736913e-16,0.8390692084742756,3.105758127668726e-15,0.8390692084742756
4.891823692713168e-15,0.8409804862319943,4.3960933480614654e-14,0.8409804862319943
4.656229136046948e-14,0.8428980457564552,6.240127979489454e-13,0.8428980457564552
3.060866683935494e-14,0.8448222837540024,4.0064326492180935e-13,0.8448222837540024
7.733416761451588e-15,0.8467532617471579,1.49230079543532e-13,0.8467532617471579
1.23236498554278e-14,0.8486903549309255,9.505977951062996e-14,0.8486903549309255
2.5572711394611767e-14,0.8506343073297575,2.941105722725797e-13,0.8506343073297575
1.8543121090326183e-15,0.851608789187214,6.513675186806058e-14,0.851608789187214
1.8543121090326183e-15,0.851608789187214,6.513675186806058e-14,0.851608789187214
